street_name,slug,timesteps,n_train_seq,n_test_seq,acc,f1,status,model_path
Lý Thường Kiệt,ly_thuong_kiet,16,,,,,trained,model/hcmc/gru_congestion_ly_thuong_kiet.keras
Nguyễn Kiệm,nguyen_kiem,16,,,,,trained,model/hcmc/gru_congestion_nguyen_kiem.keras
Quang Trung,quang_trung,16,,,,,trained,model/hcmc/gru_congestion_quang_trung.keras
Quốc lộ 1A,quoc_lo_1a,16,,,,,trained,model/hcmc/gru_congestion_quoc_lo_1a.keras
Trường Chinh,truong_chinh,16,,,,,trained,model/hcmc/gru_congestion_truong_chinh.keras
Tô Hiến Thành,to_hien_thanh,16,,,,,trained,model/hcmc/gru_congestion_to_hien_thanh.keras
Đường Lý Thường Kiệt,duong_ly_thuong_kiet,16,,,,,trained,model/hcmc/gru_congestion_duong_ly_thuong_kiet.keras
Lê Đức Thọ,le_duc_tho,16,,,,,trained,model/hcmc/gru_congestion_le_duc_tho.keras
Nguyễn Đình Chiểu,nguyen_dinh_chieu,16,,,,,trained,model/hcmc/gru_congestion_nguyen_dinh_chieu.keras
